French,English
histoire,history
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
parlé,speak
devrait,should
bébé,baby
heures,hours
vont,will
pendant,while
aucune,any
place,square
parle,speak
savais,knew
étaient,were
voici,here is
donner,give
type,type
leurs,their
donné,given
train,train
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
côté,side
vieux,old
sois,be
tiens,here
enfant,child
point,point
suite,after
pardon,sorry
vers,towards
minutes,minutes
chambre,bedroom
belle,beautiful
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
gros,large
plutôt,rather
aura,will have
